Weeks,Females,Males
3,10.1,10.6
4,14.7,16.5
5,17.8,20.7
6,18.5,21.9
7,19,23.6
8,19.6,25
9,20.3,26.1
10,20.7,26.9
11,21.3,27.7
12,21.9,28.9
13,22.6,30
14,23,30.8
15,23.5,31.6
16,23.9,32.1
17,24.1,32.8
18,24.5,33.3
19,24.8,33.7
20,25.3,34.2
21,25.8,34.6
22,26.1,35.1
23,26.5,35.8
24,26.9,36.3
24,25.9,34
28,28,35.7
32,28.9,36.7
36,30.8,37.7
40,31.9,37
44,33.2,38.3
46,33.2,38.95
48,33.2,39.6
52,35,40
56,36.2,41.2
60,37.2,42.3
64,38,43.2
68,37.6,43.5
72,39.7,44.3
78,41.1,46.6